n_towns,,cost,nfev,ncycles,njev,nhev,cost / mean,percentile_rank,nfev * pr
8,9,1.7564386299999994,384,8,0,0,0.5104551714046821,0.008878968253968254,3.4095238095238094
8,10,1.1851306350000002,288,6,0,0,0.34442197472385644,0.0002232142857142857,0.06428571428571428
8,11,1.4927942109,384,8,0,0,0.43383498391678904,0.0024057539682539684,0.9238095238095239
8,12,1.9077701850999995,192,4,0,0,0.5544350597868385,0.01681547619047619,3.2285714285714286
8,13,2.1230245927999998,144,3,0,0,0.6169921703521629,0.03544146825396825,5.103571428571429
8,14,1.8553347609,288,6,0,0,0.539196307353064,0.01331845238095238,3.8357142857142854
8,15,1.5989318773999996,336,7,0,0,0.4646806507225517,0.004141865079365079,1.3916666666666666
8,16,2.1275290942000002,240,5,0,0,0.6183012659248502,0.03606150793650793,8.654761904761903
8,17,1.9261510992999995,528,11,0,0,0.5597769103634999,0.018154761904761906,9.585714285714287
8,18,1.1824951481000001,288,6,0,0,0.34365605105633024,0.0002232142857142857,0.06428571428571428
8,19,1.2876815300000002,384,8,0,0,0.37422525608582957,0.0005952380952380953,0.2285714285714286
8,20,1.5146119999999998,192,4,0,0,0.4401756570746731,0.002728174603174603,0.5238095238095237
8,21,1.7193024074999996,192,4,0,0,0.49966266405612775,0.007465277777777778,1.4333333333333333
8,22,1.7301830844000006,336,7,0,0,0.5028248000380657,0.007614087301587301,2.558333333333333
8,23,1.3864912069000002,576,12,0,0,0.40294126682309667,0.0012896825396825397,0.7428571428571429
8,24,1.3697972008999995,144,3,0,0,0.39808966452477945,0.001140873015873016,0.16428571428571428
8,25,1.9363308015999996,192,4,0,0,0.5627353295155514,0.018849206349206348,3.6190476190476186
8,26,1.3047801,528,11,0,0,0.3791944325381403,0.0007192460317460318,0.3797619047619048
8,27,1.6383439707999992,528,11,0,0,0.4761345703462132,0.004811507936507937,2.5404761904761908
8,28,1.9315396078999993,192,4,0,0,0.5613429155936561,0.01840277777777778,3.533333333333333
